2025-08-26 13:45:16,862 | INFO | diagnostic | Teste: escrever no ficheiro de log
2025-08-26 13:45:31,646 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-26 13:45:31,672 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-26 13:45:31,672 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-26 13:45:31,690 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-26 13:45:31,690 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-26 13:45:31,703 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-26 16:10:38,178 | INFO | pipeline_360.cli | hello chamado
2025-08-26 16:10:38,259 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-26 16:10:38,260 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-26 16:10:38,261 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-26 16:10:38,314 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-26 16:10:38,315 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-26 16:10:38,324 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-26 16:41:48,199 | INFO | pipeline_360.cli | hello chamado
2025-08-26 16:41:48,306 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-26 16:41:48,331 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-26 16:41:48,332 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-26 16:41:48,375 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-26 16:41:48,375 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-26 16:41:48,387 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 18:04:43,755 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:11:59,453 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:16:29,185 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:41:36,313 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:41:36,370 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 18:41:36,380 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 18:41:36,386 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 18:41:36,396 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 18:41:36,403 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 18:41:36,409 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 18:47:14,345 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:47:14,431 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 18:47:14,441 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 18:47:14,448 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 18:47:14,459 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 18:47:14,466 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 18:47:14,472 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 18:52:38,201 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:52:38,288 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 18:52:38,298 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 18:52:38,305 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 18:52:38,316 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 18:52:38,322 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 18:52:38,328 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 18:54:19,183 | INFO | pipeline_360.cli | hello chamado
2025-08-27 18:54:19,268 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 18:54:19,278 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 18:54:19,284 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 18:54:19,296 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 18:54:19,302 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 18:54:19,308 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 19:34:03,710 | INFO | pipeline_360.cli | hello chamado
2025-08-27 19:34:03,827 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 19:34:03,850 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 19:34:03,857 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 19:34:03,873 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 19:34:03,880 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 19:34:03,886 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 20:55:10,356 | INFO | pipeline_360.cli | hello chamado
2025-08-27 20:55:10,419 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 20:55:10,429 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 20:55:10,435 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 20:55:10,454 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 20:55:10,461 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 20:55:10,743 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-08-27 21:09:08,678 | INFO | pipeline_360.cli | hello chamado
2025-08-27 21:09:08,744 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-08-27 21:09:08,754 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-08-27 21:09:08,760 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-08-27 21:09:08,770 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-08-27 21:09:08,777 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-08-27 21:09:08,808 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-01 19:55:08,841 | INFO | pipeline_360.cli | hello chamado
2025-09-01 19:55:08,937 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 19:55:08,938 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-01 19:55:08,966 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-01 19:55:08,973 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 19:55:08,973 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-01 19:55:09,003 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-01 19:55:09,011 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 19:55:09,011 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-01 19:55:09,369 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-01 20:37:20,008 | INFO | pipeline_360.cli | hello chamado
2025-09-01 20:37:20,089 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:37:20,089 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-01 20:37:20,116 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-01 20:37:20,122 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:37:20,123 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-01 20:37:20,133 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-01 20:37:20,140 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:37:20,140 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-01 20:37:20,428 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-01 20:47:59,176 | INFO | pipeline_360.cli | hello chamado
2025-09-01 20:47:59,237 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:47:59,238 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
2025-09-01 20:47:59,248 | INFO | pipeline_360.etl.pipeline | Ingest concluído
2025-09-01 20:47:59,254 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:47:59,255 | INFO | pipeline_360.etl.pipeline | Transform iniciado
2025-09-01 20:47:59,266 | INFO | pipeline_360.etl.pipeline | Transform concluído
2025-09-01 20:47:59,272 | INFO | pipeline_360.cli | Execução do pipeline iniciada
2025-09-01 20:47:59,272 | INFO | pipeline_360.etl.pipeline | Export iniciado
2025-09-01 20:47:59,305 | INFO | pipeline_360.etl.pipeline | Export concluído
2025-09-01 21:28:02,191 | INFO | pipeline_360.cli | hello chamado
2025-09-01 21:28:02,251 | INFO | pipeline_360.etl.pipeline | Ingest iniciado
